1	5008	996	5
2	1841	181	5
3	1301	5085	5
4	1007	5083	5
5	1009	5254	5
6	5089	1008	5
7	4147	978	5
8	2395	445	5
9	2336	409	5
10	3327	447	5
11	449	3498	5
12	444	3320	5
13	781	3325	5
14	1445	4	5
15	3247	428	5
16	163	1795	1
17	162	2527	1
18	3121	3095	1
19	3164	3097	1
20	2616	2537	1
21	2561	2558	1
22	341	2202	1
23	342	4326	1
24	4885	4859	1
25	4862	4928	1
26	4415	4337	1
27	4358	4357	1
28	2213	2214	4
29	-1	-1	0
30	4383	4899	4
31	-1	-1	0
32	201	1876	4
33	-1	-1	0
34	4463	1129	4
35	-1	-1	0
36	-1	-1	0
37	1807	1808	4
38	-1	-1	0
39	2585	3135	4
40	-1	-1	0
41	24	1479	4
42	-1	-1	0
43	2665	575	4
44	-1	-1	0
45	-1	-1	0
46	193	1857	2
47	5133	1294	2
48	2199	2197	2
49	1024	4235	2
50	2462	484	2
51	465	2433	2
52	1792	1790	2
53	3372	774	2
54	17	1463	2
55	2238	5224	1
56	1806	3468	1
57	4228	4601	4
58	1912	1150	4
59	4521	1144	4
60	595	2712	4
61	2725	594	4
62	1511	602	4
63	2423	2812	4
64	1506	103	4
65	2805	2803	4
66	623	2808	4
67	4596	4593	4
68	1907	280	4
69	5404	4612	4
70	2795	618	4
71	3648	2825	4
72	2809	2810	4
73	3072	718	4
74	4598	4600	4
75	-1	-1	0
76	3040	707	1
